,f1,recall,rel_error
Base CNN,0.7653910149750417,0.7912844036697247,0.0676605504587156
Sample Level CNN,0.7296829971181557,0.7317919075144509,0.005780346820809248
Recurrent CNN,0.7815833801235261,0.7759197324414716,0.014492753623188406
Parallel CNN,0.762933484934622,0.7659817351598174,0.007990867579908675
WaveNet,0.7252998286693318,0.7375145180023229,0.03368176538908246
