,2.5,5.0,7.5,10.0
2.5,0.2483130904183536,0.18956406869220607,0.20119430408819478,0.11863823933975241
5.0,,0.14829931972789115,0.23693379790940766,0.11881868131868131
7.5,,,0.20305980528511822,0.17358078602620086
10.0,,,,0.14786967418546365
