,Base CNN,Complex CNN,Recurrent CNN,Residual CNN
0.0,0.01646090534979424,0.008072653884964682,0.0720164609053498,0.007238883143743537
0.1,0.190625,0.010482180293501049,0.011518324607329843,0.009554140127388535
0.2,0.08082901554404145,0.02786377708978328,0.0021390374331550803,0.17154811715481172
0.30000000000000004,0.0020512820512820513,0.04248704663212435,0.05088265835929388,0.07332624867162593
0.4,0.080797481636936,0.03575076608784474,0.08384458077709611,0.08736842105263158
0.5,0.04025423728813559,0.007399577167019027,0.011178861788617886,0.14536082474226805
0.6000000000000001,0.05268595041322314,0.014522821576763486,0.012539184952978056,0.015086206896551725
0.7000000000000001,0.03765690376569038,0.07372793354101766,0.09937888198757763,0.028397565922920892
0.8,0.06421052631578947,0.03777544596012592,0.2712041884816754,0.04387755102040816
0.9,0.03979591836734694,0.013555787278415016,0.2512926577042399,0.25891946992864423
1.0,0.6224696356275303,0.422790202342918,0.778125,0.9829659318637275
