,f1,recall,rel_error
Base CNN,0.7900701565029682,0.8124306326304107,0.05660377358490566
Complex CNN,0.7792661619103087,0.7752027809965237,0.010428736964078795
Recurrent CNN,0.5823665893271462,0.5770114942528736,0.01839080459770115
Adapted Residual CNN,0.6047278724573941,0.6131549609810479,0.027870680044593088
Residual CNN,0.780232558139535,0.7730414746543779,0.018433179723502304
