,0.25,0.5,0.75,1.0,1.25,1.5
0.25,0.8614540466392319,0.3091655266757866,0.1622889305816135,0.04016212232866617,0.035736290819470114,0.018458197611292075
0.5,,0.5224089635854342,0.2085661080074488,0.06292134831460675,0.004156769596199525,0.038461538461538464
0.75,,,0.3465346534653465,0.1657397107897664,0.02631578947368421,0.01981833195706028
1.0,,,,0.14992272024729522,0.009269988412514484,0.051470588235294115
1.25,,,,,0.04491017964071856,0.071334214002642
1.5,,,,,,0.08823529411764706
